NAME,Median_Income,state,county,Tract
"Census Tract 3017.02, Cook County, Illinois",43030,17,031,301702
"Census Tract 3018.01, Cook County, Illinois",41283,17,031,301801
"Census Tract 3018.02, Cook County, Illinois",37639,17,031,301802
"Census Tract 3018.03, Cook County, Illinois",33227,17,031,301803
"Census Tract 3102, Cook County, Illinois",88625,17,031,310200
"Census Tract 3103, Cook County, Illinois",58333,17,031,310300
"Census Tract 3104, Cook County, Illinois",69738,17,031,310400
"Census Tract 3105, Cook County, Illinois",52090,17,031,310500
"Census Tract 3106, Cook County, Illinois",66074,17,031,310600
"Census Tract 3107, Cook County, Illinois",46250,17,031,310700
"Census Tract 3108, Cook County, Illinois",62202,17,031,310800
"Census Tract 3109, Cook County, Illinois",59333,17,031,310900
"Census Tract 3201.01, Cook County, Illinois",112125,17,031,320101
"Census Tract 3201.02, Cook County, Illinois",176506,17,031,320102
"Census Tract 3204, Cook County, Illinois",149914,17,031,320400
"Census Tract 3206, Cook County, Illinois",106723,17,031,320600
"Census Tract 3301.01, Cook County, Illinois",153561,17,031,330101
"Census Tract 3301.02, Cook County, Illinois",125500,17,031,330102
"Census Tract 3301.03, Cook County, Illinois",82491,17,031,330103
"Census Tract 3302, Cook County, Illinois",118516,17,031,330200
"Census Tract 3403, Cook County, Illinois",35893,17,031,340300
"Census Tract 3404, Cook County, Illinois",50927,17,031,340400
"Census Tract 3405, Cook County, Illinois",36250,17,031,340500
"Census Tract 3406, Cook County, Illinois",13207,17,031,340600
"Census Tract 3501, Cook County, Illinois",54352,17,031,350100
"Census Tract 3504, Cook County, Illinois",19318,17,031,350400
"Census Tract 3510, Cook County, Illinois",51074,17,031,351000
"Census Tract 3511, Cook County, Illinois",12328,17,031,351100
"Census Tract 3514, Cook County, Illinois",13750,17,031,351400
"Census Tract 3515, Cook County, Illinois",18750,17,031,351500
"Census Tract 3602, Cook County, Illinois",27083,17,031,360200
"Census Tract 3801, Cook County, Illinois",19816,17,031,380100
"Census Tract 3802, Cook County, Illinois",25313,17,031,380200
"Census Tract 3806, Cook County, Illinois",24592,17,031,380600
"Census Tract 3812, Cook County, Illinois",52188,17,031,381200
"Census Tract 3814, Cook County, Illinois",35395,17,031,381400
